13/12/2018 9.11.31,Ingegneria informatica,Si,Assolutamente si,Si,Aiuto reciproco,Si,Chat,Si,"Libri, Pc, Smartphone, Tablet","Possibilità di valutare gli appunti, suddividerli per materia e professore","No, uso One note, ma a livello personale e Google drive, ma che non è specifico","La condivisione è rapida e facile, ma non riesce a sviluppare una community concentrata sulla stessa situazione"
13/12/2018 9.25.11,Medicina ,Si,Assolutamente si,Si,Spirito di fratellanza ,Si,Forum,Si,"Libri, Pc",Appunti ,No,
13/12/2018 9.27.36,Scienze dell'educazione e della formazione ,Si,Assolutamente si,Si,Lo spirito di gruppo e la possibilità di aiutarci a vicenda ,Si,Forum,Si,"Libri, Pc",Efficacia e costanza,"Docsit, Studocu","I pro la condivisione degli appunti e riassunti, i contro la difficoltà di trovarne pochi delle materie del mio corso di studi"
13/12/2018 9.31.23,Lingue,Si,Assolutamente si,Si,Il fatto che sono sempre molto indietro con lo studio a causa del lavoro. Se qualcuno si trovasse nella mia situazione lo aiuterei,Si,Chat,Si,"Libri, Pc",Aiuto ,Nessuno,Non credo ci siano contro. 
13/12/2018 9.40.05,Comunicazione ,No,Assolutamente si,Si,Essere utile ,Si,Chat,Si,Pc,Un servizio dove è possibile scambiare le proprie conoscenze e condividere con gli altri,Non ne conosco ,Non uso servizi 
13/12/2018 9.42.16,"Lingue,  Culture, Letterature e Traduzione ",Si,Assolutamente si,Non saprei,Aiutare ed essere aiutata,Si,Forum,Si,"Libri, Pc, Smartphone",Collaborazione ,Gruppi Facebook\WhatsApp ,
13/12/2018 9.43.35,"Lingue, Culture, Letterature e Traduzione",No,Assolutamente si,Si,Lo spirito di condivisione,No,Chat,Si,Libri,Aiuto,Telegram,
13/12/2018 9.45.50,Lettere,Si,Assolutamente si,Si,Voler aiutare gli altri,Si,Forum,Si,Libri,Un aiuto con gli appunti,Le chat di whatsapp,
13/12/2018 9.54.32,Medicina e chirurgia ,Si,Assolutamente si,Non saprei,Aiutarsi,No,Forum,No,Libri,Che abbia materiale che serve davvero e non appunti incompleti o sbagliati o non esaustivi ,No,
13/12/2018 9.55.55,Ingegneria meccanica ,No,Assolutamente si,Si,Perché servirebbe anche a me,Non saprei,Forum,Si,Libri,Efficacia,No,
